Code,MumCode,Sire,Code_anon,MumCode_anon,Sire_anon
LUT16,FDL03,SARGA,C4260,M0046,D167
LYR16,LUT08,SARGA,C2973,M0137,D167
MAB16,MDD13,HIA08,C5894,M0993,D366
MAJ16,PRC06,ZAPHO,C2061,M0820,D174
MAM16,VIP11,CHM10,C2992,M0703,D195
MCD16,WAL06,RUM04,C3009,M0319,D262
MCQ16,PPL11,NA,C4319,M0744,NA
MCU16,MNG09,D0564,C1174,M0452,D193
MDD16,MEG06,HIA08,C5906,M0240,D366
MIC16,SCR04,BRY11,C1585,M0694,D321
MLA16,RAS12,ZAPHO,C1586,M0197,D174
MNM16,CHN03,DAMMY,C4180,M0910,D496
MOJ16,GNB10,ZAPHO,C5960,M0381,D174
NAV16,SEQ05,SMOOT,C3947,M0458,D112
ONY16,RBY05,TONKS,C5021,M0305,D360
ORY16,JAE02,CLV09,C5590,M1026,D234
PCN16,WAL02,STERN,C5476,M0425,D131
PKN16,CNK04,NA,C1711,M0786,NA
PPL16,FRT07,GLR09,C2505,M0853,D117
PPT16,WAG06,SCRAT,C3372,M0042,D188
PSS16,CND06,ZAPHO,C2962,M0492,D174
PUE16,NAV12,LAVAL,C3395,M0689,D280
QTZ16,TIC07,STERN,C3616,M0373,D131
RAS16,MTT08,TONKS,C5469,M0360,D360
RDD16,CLK04,TTL06,C1896,M0436,D113
RES16,NEC12,SPD01,C2225,M0557,D053
RHE16,OXY05,CLW00,C0619,M0181,D298
ROB16,WRE07,VNS09,C2086,M0276,D114
RPSLI,NA,NA,C2129,NA,NA
SAP16,RBY02,BROAD,C4531,M0129,D237
SDY16,RUM09,NA,C2142,M0622,NA
SHO16,CND12,BROAD,C4465,M0211,D237
SOA16,BRY10,HIA08,C4199,M0911,D366
SOP16,WLK11,STERN,C1074,M0706,D131
SOX16,SEQ01,LAVAL,C1935,M0880,D280
SPA16,PPL12,D0602,C1823,M0209,D479
SPU16,SPY12,NA,C3682,M0728,NA
SPY16,RPP08,SARGA,C4028,M0487,D167
STALL,NA,NA,C5359,NA,NA
SVG16,CDN12,RBY07,C5673,M0687,D264
SWT16,FRT06,SHAGG,C4457,M0382,D031
SYLVE,NA,NA,C5203,NA,NA
TCL16,HNY12,NA,C0102,M0886,NA
